Course	Room	Teacher	Time	Students
289	9	2	1	12 67 89 90 92 117 197 292 350 372 405 408 593 604 618 629 638 731 756 790 954 989 993 1050 1055 1071 1082 1122 1197 1275
170	13	146	1	94 99 133 258 280 327 371 395 418 526 549 591 611 615 617 726 755 957 975 978 994 995 1089 1172 1189 1235 1249 1267 1287
142	27	147	1	10 83 126 175 346 434 491 552 583 706 720 752 792 832 884 972 1005 1030 1049 1080 1094 1125 1154 1204 1241 1279 1289
102	9	99	2	127 136 152 156 177 186 196 213 229 250 431 456 484 517 678 718 804 905 954 1061 1063 1070 1120 1123 1265
246	9	142	3	100 105 147 171 223 298 301 319 323 363 454 476 499 605 712 729 810 856 919 1044 1123 1154 1163 1174 1220 1259
270	13	55	3	55 103 108 210 510 546 550 563 610 695 741 797 813 914 1003 1017 1076 1178 1219 1224 1226 1227 1267 1289
288	9	69	4	3 38 125 178 246 341 344 414 582 687 741 743 799 867 896 955 957 1007 1079 1116 1122 1126 1143 1168 1262
24	13	32	4	84 151 190 261 275 323 324 439 467 470 500 568 612 639 655 772 868 1052 1092 1134 1153 1200 1202 1216 1231
66	9	143	5	5 20 72 96 137 178 193 238 331 409 456 480 495 662 785 790 851 905 1007 1010 1100 1118 1160 1275
5	13	95	5	54 93 150 160 268 291 337 375 378 490 643 689 740 764 864 911 966 1042 1070 1089 1155 1173 1184 1236
12	27	71	5	2 42 74 90 184 251 284 359 399 457 508 537 594 664 668 688 706 802 833 858 932 946 953 997
17	25	25	5	19 23 59 63 132 233 347 408 435 531 542 630 634 663 708 819 821 900 952 1019 1062 1174 1220 1230
100	4	140	5	179 211 226 240 260 358 413 440 462 478 554 562 573 592 665 674 923 927 955 988 992 1156 1267
106	9	50	6	59 124 207 271 306 355 372 426 440 576 609 619 622 796 811 850 895 956 1096 1196 1250 1255 1289
121	13	135	6	77 145 184 247 349 416 450 471 483 583 682 727 746 754 764 907 932 938 1084 1104 1185 1186 1215 1227
164	9	148	7	36 41 122 355 381 419 441 501 509 614 667 672 814 883 920 987 989 1005 1060 1063 1073 1136 1273
185	13	60	7	76 79 148 185 263 265 320 344 497 585 586 610 712 736 768 860 910 966 1045 1087 1131 1162 1201
203	9	128	8	73 136 198 308 311 334 348 371 373 715 753 760 792 909 929 936 960 1000 1045 1051 1068 1119 1242 1277
58	13	147	8	8 11 99 143 150 262 289 315 322 368 369 402 578 634 643 759 789 942 977 990 1005 1097 1134
69	9	66	9	153 155 205 229 287 494 568 576 630 635 679 722 775 802 852 853 994 1014 1059 1068 1108 1138 1285
161	13	18	9	7 55 131 213 215 232 234 387 398 692 710 748 756 766 996 1012 1075 1130 1136 1144 1162 1228 1298
163	9	5	10	27 67 325 474 494 558 587 752 766 804 830 862 870 902 1043 1149 1158 1166 1172 1174 1263 1268 1287
198	13	16	10	4 116 277 378 381 400 417 468 602 625 744 749 787 821 917 955 957 1039 1065 1068 1156 1178
199	27	59	10	44 74 168 187 267 320 356 407 421 436 464 652 676 712 713 888 906 1044 1057 1138 1247 1264 1294
236	9	56	11	116 191 238 244 279 306 318 370 573 650 665 715 731 737 754 835 903 976 1028 1120 1151 1232 1243
244	13	98	11	24 214 236 373 468 484 557 646 661 703 708 819 906 963 975 991 1034 1110 1115 1138 1158 1188 1205
247	27	131	11	40 65 83 88 133 162 196 201 391 404 431 448 560 713 727 774 797 829 1082 1126 1218 1234
265	9	124	12	289 310 372 383 427 430 519 646 756 779 915 970 979 1074 1145 1146 1198 1199 1218 1232 1263 1299
269	6	34	5	84 124 143 158 183 225 234 253 322 441 463 466 473 532 621 670 880 885 951 979 1015 1106
285	11	82	5	30 122 136 185 227 333 357 379 415 609 642 679 804 915 972 1009 1021 1049 1065 1091 1128 1208 1276
1	25	109	11	1 54 262 271 278 310 337 363 377 378 405 456 610 659 728 763 782 801 809 1095
18	27	111	4	9 30 101 135 141 164 194 217 253 313 343 387 548 664 759 770 811 823 1034 1068 1090 1150
28	25	92	4	110 169 180 183 197 205 268 351 399 449 546 595 608 669 929 941 951 1051 1169 1183 1185
38	13	127	12	33 122 199 242 315 412 423 450 596 708 757 795 837 892 894 991 1024 1051 1155 1179 1284
40	13	52	2	2 6 13 45 123 151 189 199 269 296 321 424 567 650 681 701 734 838 887 902 1155 1196
63	27	103	2	49 138 147 173 315 417 427 455 582 719 743 809 956 966 1009 1040 1048 1127 1249 1262 1283 1297
68	25	20	2	31 46 129 237 352 379 399 433 437 465 502 516 531 556 575 624 757 825 861 984 1006 1103
77	27	52	9	46 79 115 236 249 290 447 526 530 539 656 666 741 878 917 924 1027 1038 1072 1101 1211
129	4	115	2	11 135 259 311 345 395 403 429 497 540 583 704 837 876 877 1045 1096 1156 1162 1173 1203 1258
135	6	23	2	176 288 306 312 369 391 414 448 576 587 682 769 803 815 857 873 891 943 1057 1264 1280 1295
159	30	100	5	66 200 297 360 372 404 522 608 616 686 795 845 850 944 986 1067 1097 1123 1168 1240 1268 1287
176	27	70	3	18 27 114 117 165 186 204 272 369 543 595 619 701 702 764 788 828 978 1062 1086 1136 1297
189	27	33	12	37 63 69 70 78 127 133 272 274 286 333 454 481 524 673 763 869 876 914 965 1126 1294
196	25	98	10	9 57 63 97 114 154 278 295 351 352 353 390 419 450 634 852 994 1015 1017 1066 1266 1285
211	27	141	7	72 93 249 366 437 439 446 604 617 685 692 718 773 794 867 891 933 938 952 983 1133 1247
219	25	80	7	26 107 117 121 124 126 272 322 379 442 570 620 726 747 765 789 863 913 976 999 1072 1118
272	4	120	10	13 59 80 104 105 128 136 204 340 348 389 478 610 716 717 777 869 903 1016 1154 1230 1288
