Course	Room	Teacher	Time	Students
323	85	75	1	158 265 333 416 419 443 467 535 545 683 713 859 893 992 1071 1111 1120 1153 1230 1397
219	38	16	1	20 46 199 204 216 393 400 513 587 603 644 897 957 1152 1179 1296 1311 1439 1450 1456
436	28	188	1	67 252 412 435 460 570 581 595 762 916 949 962 990 1067 1096 1125 1217 1225 1309
37	85	115	2	46 150 184 250 257 265 335 385 474 659 674 678 747 930 1037 1190 1243 1429
456	38	237	2	98 111 119 156 305 498 689 905 975 980 998 1115 1133 1212 1288 1359 1380 1428
39	28	67	2	30 65 140 280 281 285 656 658 660 685 827 955 987 1077 1099 1173 1425
206	17	193	2	116 206 223 363 470 540 587 599 712 743 899 963 1069 1277 1322 1341
261	85	81	3	140 218 234 276 297 334 336 364 475 640 777 794 1041 1157 1195 1317 1482
302	38	23	3	62 72 135 172 342 383 425 457 464 562 641 714 937 1017 1218 1288 1315 1477
440	28	79	3	85 86 209 420 437 441 549 616 626 732 742 773 856 986 1169 1256 1313 1461
561	17	279	3	12 131 155 238 307 333 591 600 805 886 900 925 1011 1013 1329 1337 1444
592	85	196	4	122 128 215 242 247 388 409 653 699 935 952 1106 1114 1135 1160 1185
373	85	233	5	118 231 444 464 518 581 595 686 1004 1014 1139 1322 1378 1404 1422 1468
404	38	126	5	27 55 248 257 580 624 790 810 842 904 919 992 1099 1253 1290 1350 1397
552	28	109	5	61 77 101 104 267 348 361 517 808 910 1012 1027 1090 1130 1158 1282 1457
100	85	22	6	8 166 226 374 386 690 726 889 1008 1028 1108 1115 1133 1158 1262 1316
159	38	273	6	97 316 320 454 541 649 718 722 730 740 794 888 1103 1104 1200 1367
173	28	86	6	149 199 268 458 781 783 835 857 1075 1181 1213 1308 1449
201	17	137	6	60 220 522 629 646 745 806 850 958 1097 1116 1130 1139 1280 1283 1284
305	44	44	6	21 105 187 358 360 624 678 694 885 894 895 959 980 1002 1162 1224
351	85	20	7	136 237 330 357 527 612 686 835 846 876 1003 1147 1288 1382 1406 1416
359	38	24	7	29 32 130 169 239 240 278 707 957 961 1268 1333 1334 1358 1465 1469
546	28	25	7	22 119 438 742 767 965 1082 1174 1192 1207 1306 1378 1392 1475
564	17	219	7	413 572 604 638 701 710 728 917 981 1062 1074 1177 1247 1260 1318
7	85	24	8	5 482 510 512 656 734 761 803 907 1152 1224 1386 1466
16	44	150	7	135 274 375 545 558 637 704 732 801 1045 1109 1209 1315 1336 1495
31	52	189	7	40 164 394 428 585 596 741 773 814 1021 1101 1206 1217 1361 1410
76	38	182	8	40 182 402 421 498 514 552 559 719 726 804 839 860 1187 1365
113	38	84	4	8 67 89 111 173 269 443 541 634 644 880 949 1103 1229 1476
114	28	263	4	24 141 187 221 230 279 326 489 800 911 1047 1259 1263 1287 1404
172	17	87	4	123 182 608 659 746 796 840 902 936 963 1180 1184 1393 1472
209	44	85	4	90 332 502 540 725 735 833 865 969 1107 1297 1304 1330 1387
263	52	289	4	19 71 136 297 318 366 496 662 816 869 983 1035 1219 1340 1454
306	17	95	1	309 327 338 377 475 509 1041 1098 1102 1148 1191 1304 1352 1357 1413
311	44	148	1	66 142 185 311 314 385 536 552 580 592 613 648 665 700 993
346	30	28	7	30 34 120 196 222 232 410 460 547 670 779 1176 1181 1255 1411
350	30	271	4	70 91 180 237 238 621 669 748 895 909 1248 1267 1368 1487 1496
397	96	127	4	94 152 321 327 367 433 756 773 861 906 1354 1422 1423 1431
427	28	197	8	80 161 352 470 493 904 933 1023 1037 1044 1076 1328 1423
455	17	222	8	17 136 480 494 792 1002 1006 1070 1166 1178 1240 1249 1298 1382 1405
496	44	86	3	161 186 223 416 432 482 500 506 780 842 909 946 948 1325 1473
520	52	45	3	67 459 627 651 655 663 735 791 866 893 1190 1251 1252 1387 1437
560	52	166	6	143 281 641 768 809 839 988 1134 1159 1170 1237 1355 1391 1434
12	17	290	5	29 59 112 235 324 354 534 545 841 1084 1223 1308 1382
34	44	90	2	27 233 245 374 601 621 848 897 900 916 1048 1054 1261 1448
41	52	125	2	104 124 272 274 361 392 544 677 929 1076 1273 1294 1351 1410
72	30	161	2	338 401 410 604 679 735 764 770 829 864 928 1050 1165 1283
90	96	101	2	234 238 427 509 518 721 727 885 1211 1239 1343 1347
101	44	74	8	104 580 592 593 818 848 1061 1144 1232 1257 1271 1278 1297 1311
134	96	83	7	2 303 360 408 510 567 586 975 1025 1262 1272 1377 1397
140	30	160	6	20 91 112 346 494 527 660 884 954 1070 1072 1146 1374 1437
264	97	294	7	109 198 242 302 447 483 494 623 729 831 932 1024 1143 1494
272	30	114	3	97 191 301 309 479 511 693 814 823 1112 1128 1183 1370
282	96	299	3	144 193 283 345 415 427 571 635 981 1009 1090 1126 1184 1292
313	52	60	8	139 188 534 582 630 706 858 877 925 926 1007 1066 1163 1494
332	30	110	8	79 153 288 375 851 968 1019 1043 1072 1088 1120 1161 1390
339	97	203	2	4 171 317 356 432 486 557 584 647 855 896 1068 1328 1377
364	27	60	2	193 560 579 687 795 921 932 1034 1074 1098 1102 1180 1301 1433
398	88	99	2	330 359 444 447 449 471 479 491 521 757 892 1089 1177
399	96	37	6	243 264 731 757 796 815 989 1035 1230 1420 1475 1486
416	52	121	1	18 126 293 611 635 977 1011 1159 1161 1256 1266 1350 1389
459	30	2	1	177 340 451 474 512 529 589 631 697 889 1031 1117 1140 1150
462	97	254	4	196 304 350 619 799 830 943 1052 1058 1071 1079 1088 1342 1430
475	44	235	5	253 260 394 492 586 775 811 936 1186 1240 1387 1408 1460
476	52	57	5	224 399 424 467 490 632 821 829 835 868 954 1095 1110 1183
484	30	131	5	22 53 129 252 309 505 825 1023 1216 1377 1380 1415 1493
500	97	213	3	45 54 281 505 756 1010 1070 1088 1149 1279 1411 1436 1466 1470
513	96	264	1	9 212 526 678 772 944 952 979 1050 1070 1194 1303 1327
516	96	62	5	63 93 363 370 889 1055 1164 1234 1321 1339 1403 1407 1497
549	97	209	6	80 241 257 392 504 607 648 667 738 814 1055 1229 1252 1290
555	27	56	7	20 87 292 444 492 608 629 723 834 897 971 1071 1159 1293
17	27	30	3	21 40 185 328 469 546 548 645 945 960 996 1224 1285
25	27	100	4	57 174 618 803 820 894 997 1110 1205 1405 1436 1461
44	88	284	7	101 219 262 329 797 810 888 973 1069 1287 1295 1327 1391
82	21	263	7	75 165 331 445 468 485 667 786 799 951 1142 1199 1421
84	88	97	3	197 213 300 701 759 926 1172 1378 1435 1448 1481 1483
102	97	222	1	53 113 182 295 388 397 547 578 674 1000 1051 1326 1437
108	21	144	3	80 122 326 372 491 662 755 826 908 988 992 1175 1480
131	27	83	1	117 123 305 407 508 557 617 680 751 818 1021 1092
164	88	150	1	33 288 440 468 486 501 624 673 958 1036 1087 1124 1200
165	21	272	1	31 45 55 121 251 734 822 1037 1083 1275 1415 1448
170	72	281	1	118 395 448 503 561 612 813 1121 1282 1362 1386 1414 1457
186	15	156	1	34 144 222 290 384 398 466 891 948 1270 1294 1395
198	27	9	6	88 365 402 556 566 621 653 995 1178 1228 1380 1412 1415
200	96	107	8	74 213 325 404 430 693 699 712 846 917 990 1289 1354
208	97	179	8	12 115 328 444 478 529 535 622 649 974 1000 1273 1392
224	27	192	8	35 63 138 204 247 435 458 788 1096 1324 1374 1402 1427
226	88	264	8	21 124 151 382 386 694 741 764 965 1350 1445 1459
259	21	14	8	1 156 168 212 381 403 627 765 780 868 1418 1443 1469
273	97	38	5	51 85 181 193 294 314 320 478 540 603 684 966 1310
299	27	218	5	6 23 145 263 330 456 477 634 753 763 892 1123 1314
301	88	47	6	59 213 250 353 502 515 733 904 930 1399
317	88	278	4	42 209 291 420 466 513 612 862 944 951 1391 1443 1460
333	21	29	4	101 239 575 771 810 856 1105 1228 1245 1260 1318 1401 1490
344	72	244	4	2 35 301 525 571 650 759 806 824 1082 1118 1308 1353
383	83	195	1	190 511 531 597 677 759 808 819 985 1107 1201 1453
385	72	214	8	39 177 181 576 686 828 957 960 1067 1081 1164 1329
393	72	164	3	149 198 236 255 311 368 462 470 898 902 975 1113 1125
396	15	130	3	164 187 366 410 632 639 673 923 1135 1344 1363 1379
402	21	48	2	45 277 291 353 528 551 622 654 845 1104 1152 1258 1339
422	72	98	7	110 148 180 195 538 758 849 963 1056 1170 1299 1351 1373
425	15	125	4	134 401 772 838 842 1163 1202 1283 1310 1424 1465
431	21	169	6	19 157 210 252 328 401 708 709 969 973 1053 1085
433	15	165	7	132 143 359 422 591 753 1075 1127 1221 1347 1415 1446 1499
458	83	275	7	139 167 194 271 415 454 600 650 1015 1046 1126 1261 1385
469	2	93	7	347 411 516 610 702 798 939 989 1120 1211 1219 1300 1417
473	88	291	5	57 389 458 473 524 564 576 860 926 965 976 1038
477	72	15	2	112 129 141 158 295 298 429 536 625 696 769 849 919
485	83	134	3	192 250 298 472 489 494 557 751 912 1099 1391 1486
509	72	247	6	75 254 413 473 487 561 589 805 929 985 1386
514	83	88	4	29 146 160 213 339 348 490 750 1091 1338 1459 1469
542	15	49	8	23 118 178 345 433 645 705 849 938 975 1227 1434 1442
547	21	191	5	111 188 194 229 433 435 465 567 583 972 1044 1137 1320
557	15	73	6	16 114 248 384 437 659 729 760 991 1192 1269 1309
559	83	296	8	76 192 277 287 476 855 881 955 969 977 1065 1206
563	72	185	5	96 325 358 403 436 588 675 800 809 1003 1247 1264 1353
566	2	157	8	34 264 356 456 531 655 875 1017 1090 1092 1306 1401 1460
589	2	180	4	396 402 555 587 854 950 960 1040 1059 1086 1092 1166 1489
2	25	243	7	37 150 313 412 592 738 739 802 872 884 1022 1388
13	25	68	8	203 383 438 495 520 558 700 1238 1338 1403 1472
18	15	292	2	42 328 703 704 739 991 1036 1065 1205 1259 1276
21	83	158	6	128 546 997 1017 1020 1062 1065 1073 1167 1264 1352
29	25	104	4	44 256 286 360 579 765 892 984 1049 1150 1207 1252
40	2	193	6	1 245 279 354 359 625 628 775 800 893 990 1319
43	25	103	6	197 524 560 697 797 987 1171 1295 1476
46	87	77	6	81 411 611 618 623 701 719 967 1225 1276 1442
47	34	262	6	201 269 459 521 533 539 569 619 746 866 1413
80	87	273	8	48 266 406 523 588 597 604 721 767 1042 1310 1461
83	87	3	7	16 70 772 781 833 891 1053 1235 1243 1343 1365 1482
106	34	174	7	336 348 764 809 859 909 1004 1011 1059 1426 1428 1485
115	34	177	8	69 347 393 467 634 782 922 1051 1105 1116 1330 1346
138	2	32	3	204 278 477 543 643 883 887 918 932 953 1303
148	25	240	3	115 129 246 446 460 508 595 743 813 835 896 1449
149	87	12	4	98 253 352 418 627 795 867 962 993 1067 1140 1482
151	34	130	4	37 50 216 362 567 703 813 899 927 980 1021 1336
158	15	116	5	115 150 230 343 383 395 553 671 864 913 1028 1141
171	35	234	4	207 270 282 319 429 463 629 836 904 1078 1172 1286
177	2	205	1	152 196 376 565 758 927 1081 1110 1175 1212 1335 1349
202	25	226	1	86 162 442 461 539 790 829 842 1172 1219 1267 1459
203	87	11	1	25 83 601 614 688 692 737 861 888 1333 1338 1451
211	35	256	6	175 253 287 529 645 679 716 919 970 1101 1271 1273
230	4	37	4	84 155 195 313 369 437 968 970 1249 1305 1414
235	87	102	3	52 319 341 435 613 646 669 696 802 903 1024 1136
238	34	118	3	240 390 465 597 798 884 1258 1314 1316 1323 1441
242	35	204	3	87 182 398 493 518 611 807 1003 1027 1182 1294
243	83	153	2	1 54 256 376 419 568 661 852 1009 1194 1304 1407
248	2	102	2	44 329 636 834 906 937 952 1004 1012 1057 1093
252	35	61	7	159 197 325 431 565 696 768 987 1016 1340 1384 1408
262	35	10	8	137 141 452 695 766 798 911 936 1147 1156 1268 1293
267	4	245	8	90 477 707 857 924 1093 1111 1188 1345 1360 1362 1452
274	83	49	5	434 543 731 761 778 782 979 1020 1037 1106 1334
283	40	211	8	75 95 191 459 573 679 756 1134 1244 1282 1301 1339
286	2	220	5	88 198 227 413 549 854 1068 1131 1238 1369 1492
287	34	249	1	574 588 744 748 770 920 1095 1216 1443 1492
293	4	163	6	123 190 239 446 474 550 579 998 1080 1198 1354 1498
300	40	176	6	85 154 341 344 478 585 604 723 853 910 947 1464
310	25	46	5	24 42 299 374 485 647 815 855 1113 1125 1155 1428
315	87	96	5	70 90 311 323 365 431 511 762 1036 1220 1438 1439
318	34	259	5	120 292 307 448 727 754 822 922 1212 1435
325	4	8	7	284 506 537 636 796 841 1048 1114 1319 1436
336	40	168	7	14 49 145 270 421 577 763 862 983 1248 1496
360	64	173	8	131 132 301 536 611 677 783 909 1010 1106 1137
366	35	146	5	73 82 110 139 278 371 406 665 885 1359 1427 1470
379	35	269	1	24 168 206 273 347 391 672 845 928 1330 1355 1429
388	40	79	4	148 212 471 527 640 681 752 913 999 1155 1201
405	25	166	2	10 12 267 439 682 1029 1062 1200 1272 1286 1354 1468
414	87	274	2	133 194 297 321 576 607 620 867 962 993 1402 1458
415	4	140	5	65 152 347 366 758 916 1015 1017 1157 1196 1313 1424
438	40	59	5	126 261 264 338 350 396 682 915 1060 1258 1277 1464
441	64	18	6	388 390 456 557 631 672 732 1088 1132 1190 1272 1297
449	4	110	1	7 343 590 709 978 1014 1101 1199 1234 1239 1310 1500
453	34	296	2	523 526 539 542 638 854 1013 1066 1175 1266 1350 1440
454	35	117	2	322 331 554 556 713 856 1060 1147 1228 1250 1345 1480
465	64	132	5	109 277 286 293 607 708 793 824 920 953 1358
487	40	1	1	73 76 108 316 426 602 636 714 862 941 1292 1445
497	55	31	5	68 272 410 481 522 858 985 1063 1134 1304
505	64	111	4	205 273 305 537 647 683 737 991 1113 1119 1158 1462
525	4	276	2	366 472 614 668 995 1117 1169 1209 1241 1268 1352 1363
527	55	92	4	7 18 345 438 1053 1192 1337 1356 1433 1444
532	64	252	7	160 229 514 533 598 794 806 907 1033 1201 1328 1418
534	16	258	5	156 168 183 315 598 812 888 956 1097 1198 1316 1368
588	16	231	4	340 372 434 482 687 730 766 1009 1029
3	64	31	1	125 166 499 519 572 765 856 883 1128 1385
14	55	286	1	15 458 497 706 954 994 1065 1331 1495 1497
23	4	251	3	107 190 426 455 541 838 851 1060 1215 1295 1364
38	45	229	5	66 171 208 232 244 283 454 942 996 1140 1167
50	45	115	4	81 357 363 421 475 568 1123 1232 1298 1427
51	55	153	6	106 255 296 496 684 790 901 955 1016 1160 1202
52	55	63	8	133 218 220 752 768 826 1015 1046 1089 1234 1406
53	47	154	5	48 114 430 587 622 814 861 873 1165 1307 1336
64	16	270	1	16 119 179 235 331 423 551 1023 1184 1404 1444
73	47	249	4	384 408 412 631 778 886 896 934 966 1023 1332
74	40	123	2	74 166 476 516 774 776 946 964 1325 1398 1422
86	64	207	2	41 81 125 337 369 414 563 917 1121 1270 1462
94	55	147	2	109 177 186 254 373 519 575 577 1080 1204 1491
96	55	118	7	79 299 407 441 645 759 784 903 1400 1462
111	16	223	7	100 138 221 478 484 570 614 803 1058 1345
116	45	22	7	56 89 287 312 692 727 731 986 1429 1456
122	47	80	7	207 217 223 234 400 573 902 1077 1309 1474 1477
124	40	137	3	60 130 316 413 450 453 483 947 1066 1163 1488
129	64	200	3	147 526 539 594 606 785 847 976 1217 1286 1376
137	55	265	3	41 183 214 480 666 746 1049 1062 1077 1199
141	16	142	2	56 134 304 306 314 646 680 1046 1192 1361
147	16	200	8	337 350 388 499 715 1139 1214 1364 1383
153	16	225	3	34 48 121 779 977 1202 1255 1281 1283 1351 1407
166	45	227	2	120 155 172 531 550 771 782 784 859 1018 1284
167	91	81	4	63 664 812 1057 1076 1080 1081 1152 1277 1370 1383
185	54	120	4	165 459 514 688 728 776 1093 1275 1303 1428
192	45	149	3	620 660 717 821 1093 1131 1189 1240 1312 1414 1499
204	91	103	7	122 171 477 615 617 642 789 824 1064 1096 1480
229	16	267	6	406 742 804 1248 1320 1377 1401 1403 1416 1470
231	47	202	3	61 102 262 575 853 899 980 1039 1300 1324 1357
266	91	122	3	134 285 389 430 638 740 741 769 984 1124 1239
269	54	12	3	170 210 259 407 573 707 1047 1054 1223 1326 1371
280	36	221	4	28 31 176 428 673 724 754 976 987 995 1019
292	36	276	3	233 401 428 498 502 569 729 922 1021 1394 1424
298	47	143	2	108 384 386 512 522 538 923 1091 1210 1395 1446
308	54	77	7	46 85 266 436 470 568 676 1002 1104 1173 1297
322	45	299	1	103 225 312 438 452 463 733 1010 1109 1285
324	91	227	5	94 199 251 871 872 978 1138 1337 1349 1396 1445
335	45	17	8	8 163 283 305 335 532 1039 1130 1292 1411
341	91	216	2	33 299 475 503 630 644 1072 1365 1403 1499
343	19	129	4	49 59 227 344 376 641 845 1032 1142 1479 1481
362	54	174	5	11 121 419 429 443 529 685 717 848 1208
367	36	287	7	44 69 344 472 554 906 1111 1431 1439 1476
377	47	297	1	136 417 506 571 865 999 1163 1167 1198 1284 1356
378	47	242	8	4 49 336 596 607 632 879 1087 1288 1341 1430
389	91	152	8	47 107 297 329 332 407 684 1055 1064 1162 1394
394	36	82	5	30 187 345 503 566 693 802 806 863 993 1233
408	19	212	5	108 379 670 694 839 1102 1104 1133 1331 1375 1420
429	22	215	5	107 520 625 723 819 945 1032 1112 1318 1332 1384
430	91	52	1	135 154 174 258 261 362 817 890 1325
435	54	5	8	106 112 310 683 811 1193 1313 1331 1455 1473 1483
437	45	10	6	25 214 325 380 432 692 843 984 1119 1242 1299
439	36	51	8	55 637 708 736 1034 1097 1136 1236 1308 1449 1496
447	19	197	3	95 273 497 563 816 845 999 1076 1144 1260 1291
460	47	167	6	3 218 275 525 770 834 963 1177 1409 1473
463	91	194	6	158 200 315 826 870 972 1360 1423 1427 1455
490	19	159	7	8 326 392 698 762 823 861 1205 1210 1488
507	22	4	3	291 362 544 690 782 854 889 916 951 1138 1250
510	22	1	4	203 284 639 649 901 1122 1178 1300 1344 1388 1425
512	92	61	5	154 349 619 746 927 937 944 1018 1245
530	92	39	4	368 777 860 923 933 985 1176 1213 1289 1477
537	54	128	2	180 232 489 613 702 951 1035 1138 1236 1305
548	54	167	1	148 274 434 622 669 797 834 1130 1418 1465 1466
554	54	27	6	76 321 462 519 548 552 1127 1322 1356 1430 1479
558	19	36	8	231 306 378 405 541 687 1033 1122 1135 1233 1370
565	36	228	1	315 449 457 476 524 663 691 874 1075 1274 1431
568	36	236	6	271 303 357 586 671 903 940 1047 1064 1266 1334
578	22	105	8	282 731 732 750 755 962 1153 1217 1219 1305
586	100	73	5	15 58 191 234 312 397 898 1007 1270 1276 1401
600	33	252	5	501 526 633 807 1002 1061 1078 1284 1326 1412
