Class Times	8
Rooms	100
1	426
2	859
3	459
4	805
5	588
6	40
7	119
8	163
9	333
10	428
11	331
12	122
13	296
14	31
15	886
16	729
17	942
18	84
19	681
20	523
21	904
22	650
23	104
24	34
25	857
26	189
27	915
28	955
29	194
30	922
31	271
32	529
33	622
34	833
35	816
36	690
37	390
38	958
39	601
40	775
41	407
42	567
43	309
44	937
45	721
46	538
47	719
48	594
49	26
50	452
51	173
52	927
53	295
54	710
55	742
56	272
57	378
58	498
59	518
60	299
61	616
62	216
63	212
64	769
65	475
66	91
67	425
68	504
69	160
70	587
71	125
72	896
73	492
74	151
75	461
76	197
77	147
78	141
79	495
80	141
81	297
82	93
83	873
84	125
85	963
86	466
87	851
88	911
89	21
90	98
91	718
92	648
93	196
94	81
95	537
96	921
97	920
98	224
99	522
100	648
Classes	600
Teachers	300
1	291
2	243
3	31
4	33
5	266
6	274
7	24
8	287
9	94
10	34
11	242
12	290
13	68
14	286
15	151
16	150
17	30
18	292
19	243
20	240
21	158
22	158
23	251
24	172
25	100
26	68
27	282
28	212
29	104
30	64
31	189
32	239
33	74
34	90
35	194
36	39
37	115
38	229
39	67
40	193
41	125
42	238
43	103
44	284
45	226
46	77
47	262
48	186
49	269
50	115
51	153
52	63
53	154
54	300
55	171
56	178
57	211
58	113
59	203
60	288
61	149
62	170
63	35
64	270
65	248
66	239
67	9
68	175
69	229
70	270
71	297
72	161
73	249
74	123
75	100
76	182
77	290
78	172
79	233
80	273
81	48
82	263
83	3
84	97
85	142
86	207
87	108
88	8
89	175
90	101
91	154
92	58
93	95
94	147
95	55
96	118
97	266
98	186
99	217
100	22
101	74
102	222
103	176
104	21
105	78
106	174
107	192
108	144
109	210
110	38
111	223
112	151
113	84
114	263
115	177
116	22
117	122
118	152
119	257
120	280
121	32
122	80
123	87
124	137
125	147
126	56
127	71
128	141
129	200
130	78
131	83
132	13
133	26
134	83
135	144
136	91
137	265
138	32
139	260
140	160
141	142
142	85
143	40
144	282
145	71
146	280
147	200
148	240
149	12
150	300
151	130
152	65
153	225
154	288
155	289
156	54
157	160
158	116
159	273
160	113
161	256
162	58
163	141
164	150
165	272
166	227
167	81
168	116
169	218
170	281
171	234
172	87
173	86
174	205
175	91
176	29
177	205
178	34
179	210
180	251
181	182
182	123
183	15
184	216
185	120
186	156
187	104
188	260
189	96
190	161
191	232
192	149
193	69
194	21
195	65
196	106
197	133
198	9
199	67
200	107
201	137
202	226
203	11
204	103
205	159
206	193
207	208
208	179
209	85
210	64
211	256
212	43
213	163
214	72
215	156
216	111
217	232
218	54
219	16
220	170
221	139
222	238
223	179
224	192
225	16
226	264
227	108
228	120
229	267
230	37
231	202
232	250
233	224
234	281
235	102
236	208
237	272
238	118
239	148
240	173
241	84
242	204
243	153
244	277
245	51
246	267
247	171
248	102
249	93
250	284
251	293
252	61
253	82
254	41
255	246
256	28
257	66
258	201
259	14
260	3
261	81
262	10
263	289
264	294
265	97
266	122
267	245
268	72
269	12
270	250
271	214
272	114
273	38
