Students	1300
1	226 1 146 37
2	12 218 112 40
3	78 88 62 288
4	271 206 198 19
5	66 133 295 186
6	78 31 40 110
7	88 240 270 161
8	134 266 58 261
9	160 127 196 18
10	149 136 142 287
11	256 290 58 129
12	4 222 289 61
13	213 194 40 272
14	300 103 7 6
15	89 258 255 240
16	113 179 300 132
17	165 52 147 281
18	35 4 176 284
19	25 238 17 37
20	66 4 259 32
21	10 126 157 295
22	225 45 227 166
23	96 127 17 222
24	70 298 204 244
25	183 148 181 103
26	183 219 99 112
27	162 176 153 163
28	208 16 250 87
29	104 241 87 145
30	285 120 18 205
31	68 291 144 186
32	256 180 133 116
33	9 38 52 239
34	239 32 144 52
35	273 266 15 197
36	248 164 19 280
37	224 140 189 152
38	277 288 258 110
39	256 202 296 122
40	230 74 65 247
41	164 132 149 7
42	12 166 165 54
43	205 160 279 181
44	150 14 199 213
45	40 19 242 99
46	276 60 68 77
47	136 242 23 3
48	277 44 167 55
49	232 32 29 63
50	156 245 238 282
51	296 300 83 174
52	256 155 263 100
53	253 130 292 113
54	71 133 1 5
55	161 30 13 270
56	31 13 235 6
57	196 290 264 252
58	257 173 6 190
59	17 281 272 106
60	294 61 233 99
61	168 62 88 7
62	280 258 144 291
63	189 196 17 206
64	158 271 254 286
65	130 144 247 165
66	159 229 240 179
67	263 163 91 289
68	30 89 282 162
69	300 80 256 189
70	189 94 223 184
71	115 248 201 14
72	62 211 136 66
73	203 103 228 153
74	199 12 162 284
75	132 36 84 22
76	200 286 185 252
77	255 181 263 121
78	264 189 23 140
79	191 77 185 140
80	233 272 204 232
81	214 197 256 187
82	300 266 232 50
83	128 247 142 287
84	24 269 173 146
85	15 227 153 188
86	242 9 233 243
87	48 260 78 57
88	59 247 144 166
89	298 193 289 160
90	12 144 289 80
91	175 81 179 143
92	103 70 289 116
93	111 5 73 211
94	170 168 73 133
95	4 80 82 234
96	249 66 296 190
97	196 256 54 271
98	115 200 130 251
99	174 58 170 235
100	191 246 230 99
101	57 18 195 182
102	254 151 271 123
103	270 280 234 33
104	272 290 294 191
105	271 272 246 300
106	8 46 214 96
107	167 184 39 219
108	209 145 252 270
109	217 257 7 90
110	28 61 300 84
111	160 31 92 42
112	271 175 76 273
113	263 73 123 89
114	196 176 141 76
115	155 204 77 67
116	236 252 114 198
117	219 289 176 14
118	33 79 292 295
119	91 15 16 264
120	220 273 97 98
121	50 125 219 300
122	88 38 164 285
123	40 292 223 37
124	157 269 106 219
125	99 288 298 266
126	219 122 26 142
127	102 33 189 155
128	133 168 240 272
129	68 266 257 125
130	230 221 223 61
131	85 59 161 137
132	141 17 119 105
133	194 189 170 247
134	113 92 215 25
135	18 129 84 184
