Students	1300
1	376 441 282 131
2	132 82 260 444
3	290 392 360 465
4	214 177 77 269
5	124 110 114 48
6	227 425 102 463
7	144 10 371 256
8	138 337 186 37
9	137 362 95 386
10	439 163 446 393
11	153 122 109 142
12	217 89 248 437
13	165 339 243 157
14	276 411 199 116
15	287 487 132 443
16	296 336 409 466
17	366 257 308 387
18	180 237 420 42
19	470 174 224 491
20	131 360 267 67
21	43 27 71 431
22	176 83 66 78
23	195 320 59 226
24	275 395 342 457
25	385 490 267 371
26	368 299 49 363
27	11 266 323 123
28	177 274 327 290
29	207 469 355 380
30	290 400 60 317
31	435 117 88 93
32	86 102 158 475
33	326 495 461 497
34	290 291 309 95
35	472 365 306 175
36	486 6 89 101
37	317 148 441 443
38	224 332 388 242
39	74 353 466 405
40	391 137 72 36
41	29 113 155 198
42	359 234 137 411
43	466 479 36 434
44	500 241 348 397
45	360 171 150 190
46	35 410 485 169
47	409 167 465 33
48	276 224 320 215
49	428 438 83 70
50	233 19 389 13
51	78 259 149 297
52	196 268 367 250
53	370 345 194 330
54	76 103 364 390
55	93 352 452 494
56	185 403 7 174
57	425 456 22 458
58	124 136 419 203
59	182 251 313 393
60	305 110 180 13
61	130 444 293 1
62	76 386 376 456
63	1 359 51 398
64	345 377 314 243
65	10 36 463 369
66	491 66 164 447
67	53 222 70 388
68	298 143 166 282
69	228 115 500 364
70	133 151 434 47
71	474 407 404 343
72	42 421 302 281
73	482 24 261 15
74	320 217 202 313
75	80 421 169 177
76	457 438 158 55
77	63 420 322 434
78	174 147 151 39
79	392 334 257 282
80	495 439 372 435
81	374 12 220 350
82	27 322 225 451
83	271 496 31 494
84	260 329 263 387
85	137 223 92 337
86	35 281 358 457
87	365 473 325 267
88	446 8 424 108
89	248 348 443 123
90	486 172 192 400
91	86 296 446 197
92	393 318 419 280
93	31 491 394 27
94	339 286 10 415
95	97 198 498 86
96	486 239 87 150
97	467 135 451 256
98	469 165 140 304
99	143 59 466 482
100	471 229 258 272
101	310 251 281 261
102	112 460 291 232
103	227 476 457 276
104	334 465 178 426
105	40 113 114 167
106	305 129 62 243
107	133 194 349 499
108	107 108 243 367
109	22 382 418 48
110	79 354 419 457
111	287 93 413 25
112	231 418 140 250
113	179 443 19 316
114	28 345 324 86
115	362 18 124 226
116	145 176 173 185
117	142 87 440 71
118	497 265 336 44
119	125 375 6 275
120	403 471 121 9
121	464 277 374 423
122	232 179 124 70
123	183 34 495 389
124	233 54 163 500
125	91 352 324 398
126	492 26 443 359
127	395 196 386 454
128	110 88 469 356
129	431 137 58 171
130	235 250 284 381
131	327 26 124 87
132	482 229 226 409
133	461 72 175 497
134	104 357 497 145
135	295 460 248 312
136	483 124 471 165
137	477 86 183 333
138	86 274 328 309
139	108 231 486 158
140	36 12 225 381
141	161 65 130 277
142	318 21 442 177
143	307 282 76 118
144	393 257 74 1
145	324 405 427 55
146	167 342 115 215
147	264 350 54 12
148	304 253 427 452
149	262 236 177 435
150	303 33 408 370
151	189 144 336 451
152	96 285 344 338
153	305 61 382 64
154	141 379 273 89
155	163 153 73 198
156	93 31 427 294
157	283 154 100 334
158	130 182 138 76
159	473 256 380 355
160	425 37 408 297
161	208 195 172 38
162	499 37 179 412
163	148 417 150 449
164	403 104 177 425
165	162 262 330 174
166	207 104 82 340
167	205 387 303 82
168	252 165 138 438
169	378 85 392 445
170	265 235 99 249
171	452 439 456 132
172	348 381 299 168
173	2 423 208 185
174	168 422 340 200
175	397 500 210 491
176	44 315 267 242
177	408 477 227 385
178	313 199 267 30
179	466 143 119 432
180	435 496 37 1
181	85 447 242 411
182	270 287 39 248
183	189 343 380 44
184	38 498 250 366
185	191 205 257 422
186	309 66 304 19
187	106 26 484 13
188	103 37 335 155
189	2 186 395 283
190	283 12 71 213
191	127 180 300 425
192	106 323 78 211
193	245 77 458 437
194	463 342 485 310
195	227 413 423 125
196	376 221 49 116
197	130 385 392 454
198	460 7 169 57
199	290 177 375 99
200	153 451 247 138
201	32 137 116 106
202	189 367 309 62
203	462 351 171 126
204	429 169 394 349
205	381 496 427 417
206	361 160 487 430
207	255 74 105 9
208	253 347 169 474
209	300 338 461 316
210	169 390 187 231
211	151 411 436 341
212	257 381 353 84
213	254 162 436 158
214	493 437 464 216
215	34 10 280 379
216	273 37 440 341
217	133 324 35 499
218	62 263 432 317
219	425 61 109 216
220	54 435 442 173
221	294 214 424 125
222	132 264 338 105
223	120 8 435 82
224	209 418 205 343
225	217 127 5 481
226	376 392 112 499
227	445 35 327 217
228	129 265 196 11
229	75 177 160 256
230	305 353 407 121
231	481 51 80 383
232	253 333 337 36
233	107 283 316 5
234	136 253 285 372
235	221 436 442 224
236	195 341 97 355
237	331 307 354 320
238	209 231 294 363
239	263 18 465 289
240	355 149 172 419
241	274 115 443 189
242	102 235 356 12
243	257 315 144 163
244	260 466 193 303
245	471 424 51 300
246	294 204 460 214
247	448 224 134 282
248	17 104 70 199
249	167 423 490 166
250	287 58 314 130
251	288 482 499 135
252	383 472 150 163
253	244 289 487 99
254	274 35 224 256
255	216 305 2 159
256	71 155 33 83
257	33 353 378 152
258	25 5 91 68
259	326 288 143 294
260	46 43 3 478
261	294 264 181 293
262	315 55 36 154
263	261 220 225 251
264	198 89 139 348
265	272 171 388 201
266	333 233 309 381
267	312 147 380 212
268	377 424 338 447
269	360 17 485 190
270	135 480 242 251
271	317 95 98 256
272	431 147 42 40
273	210 291 389 327
274	405 137 255 75
275	23 441 491 493
276	270 169 5 362
277	23 363 453 296
278	170 113 122 130
279	176 235 437 393
280	401 284 297 389
281	231 330 177 432
282	393 44 16 385
