Students	1500
1	259 243 40 207
2	134 11 250 344
3	120 460 157 105
4	339 378 254 531
5	255 410 258 7
6	334 63 65 299
7	527 449 590 99
8	100 490 113 335
9	45 91 241 513
10	143 61 353 405
11	362 120 95 176
12	208 451 561 405
13	503 61 467 494
14	196 110 336 501
15	526 573 14 586
16	557 64 420 83
17	348 175 58 455
18	527 445 416 222
19	213 431 263 575
20	219 140 287 555
21	226 305 105 17
22	484 546 223 472
23	452 1 299 542
24	379 304 114 310
25	203 437 199 95
26	381 160 22 595
27	404 36 255 34
28	280 61 387 194
29	514 12 359 233
30	394 361 39 346
31	577 358 165 280
32	386 478 359 570
33	4 328 341 164
34	153 566 186 346
35	224 121 79 344
36	55 349 91 233
37	2 151 420 444
38	237 157 442 255
39	385 466 470 85
40	31 76 17 270
41	569 86 105 137
42	310 317 483 18
43	146 258 68 501
44	367 248 326 29
45	165 142 402 500
46	219 37 308 118
47	270 347 389 576
48	150 53 153 80
49	355 336 378 343
50	291 196 151 519
51	273 145 11 60
52	176 188 380 235
53	524 484 539 102
54	243 369 538 500
55	404 471 165 439
56	227 116 141 6
57	112 314 473 25
58	443 173 468 586
59	301 343 189 12
60	201 45 124 66
61	231 552 579 187
62	448 302 285 62
63	77 167 516 224
64	57 142 77 411
65	289 415 428 39
66	38 362 311 585
67	113 520 436 284
68	307 497 290 59
69	367 268 270 115
70	384 350 315 83
71	210 263 216 511
72	133 32 188 302
73	487 366 349 295
74	74 200 190 338
75	82 283 509 145
76	554 559 487 446
77	19 552 28 546
78	117 334 596 169
79	332 96 536 146
80	427 108 549 357
81	50 523 86 46
82	366 334 62 285
83	203 522 276 43
84	196 6 92 230
85	273 440 300 308
86	570 188 202 440
87	538 555 48 242
88	286 541 198 223
89	116 591 155 113
90	209 315 218 267
91	146 140 15 350
92	345 385 468 265
93	181 182 516 161
94	397 324 464 296
95	309 283 498 447
96	337 117 157 563
97	194 272 594 159
98	535 212 149 456
99	524 495 531 330
100	392 111 457 446
101	44 413 333 552
102	488 62 231 65
103	511 322 42 387
104	101 41 451 552
105	412 331 468 305
106	51 435 494 495
107	290 429 389 23
108	487 154 408 298
109	276 94 465 264
110	212 422 366 430
111	456 113 547 572
112	12 477 435 140
113	85 195 102 183
114	53 62 557 188
115	148 208 158 550
116	175 206 69 275
117	376 131 401 457
118	93 170 373 542
119	546 143 456 64
120	346 326 318 166
121	153 165 362 541
122	237 592 108 204
123	293 249 172 131
124	95 41 226 466
125	86 372 522 3
126	416 438 42 503
127	576 136 521 226
128	363 536 592 21
129	148 162 477 484
130	183 397 359 124
131	561 360 503 524
132	433 360 594 1
133	52 467 501 414
134	266 195 425 141
135	16 302 493 430
136	351 455 263 377
137	212 92 93 262
138	224 593 216 111
139	313 366 458 184
140	39 418 261 466
141	477 114 289 262
142	311 288 249 357
143	560 529 290 433
144	282 117 186 467
145	68 336 472 299
146	205 419 112 514
147	129 42 278 236
148	95 548 388 422
149	474 173 403 393
150	2 135 37 158
151	450 226 515 125
152	177 365 397 415
153	26 270 332 365
154	19 430 512 300
155	230 446 561 166
156	49 259 456 534
157	212 154 591 431
158	323 593 477 463
159	66 319 252 545
160	79 514 155 532
161	144 496 427 392
162	428 600 202 19
163	118 342 295 335
164	504 31 368 396
165	156 185 195 82
166	363 74 100 3
167	494 486 215 458
168	534 443 379 259
169	228 112 359 232
170	269 241 49 596
171	339 38 410 204
172	166 493 302 573
173	113 543 503 121
174	25 430 401 382
175	156 354 174 211
176	280 233 391 69
177	385 94 540 459
178	545 22 542 61
179	64 303 543 383
180	350 486 422 537
181	160 273 385 382
182	172 102 76 242
183	19 137 534 544
184	446 37 66 25
185	17 515 591 311
186	94 420 9 496
187	396 305 114 394
188	547 313 128 20
189	179 571 526 434
190	504 23 293 383
191	272 424 586 283
192	559 485 470 91
193	364 273 474 282
194	547 458 414 329
195	492 230 422 256
196	346 281 177 462
197	84 43 345 252
198	264 393 286 387
199	173 219 324 390
200	463 330 318 99
201	89 257 475 47
202	470 79 26 444
203	13 510 257 180
204	219 224 138 271
205	443 144 505 583
206	289 1 379 206
207	171 128 122 284
208	38 27 524 276
209	417 28 317 440
210	583 411 269 431
211	386 348 319 492
212	259 312 513 388
213	200 84 514 301
214	81 225 137 437
215	592 197 375 533
216	36 151 352 219
217	309 330 122 165
218	569 460 52 261
219	400 44 562 270
220	182 452 201 52
221	188 114 111 59
222	423 186 346 380
223	206 496 213 122
224	353 476 232 594
225	322 499 160 365
226	100 70 495 207
227	212 343 395 286
228	374 424 479 144
229	277 547 532 420
230	158 114 169 356
231	558 373 30 424
232	346 38 512 537
233	34 292 297 237
234	90 586 122 261
235	12 492 522 64
236	99 393 539 312
237	350 56 351 81
238	350 205 90 561
239	359 333 117 293
240	238 10 301 359
241	549 48 127 536
242	592 190 126 264
243	62 399 478 186
244	499 38 342 152
245	40 11 34 330
246	148 303 375 294
247	156 224 592 567
248	492 557 278 404
249	411 136 368 237
250	301 37 485 239
251	165 6 360 324
252	42 484 431 436
253	370 475 211 149
254	509 94 585 26
255	68 588 393 51
256	29 502 123 243
257	549 404 37 572
258	93 57 504 430
259	529 425 269 355
260	27 179 475 48
261	531 438 430 161
262	231 284 58 44
263	309 320 71 299
264	566 399 522 438
265	37 474 323 228
266	80 49 369 308
267	182 464 552 405
268	596 180 173 372
269	113 47 77 340
270	171 240 353 336
271	568 260 458 406
272	88 497 340 41
273	368 379 505 447
274	579 548 41 16
275	97 169 460 60
276	444 281 261 183
277	402 321 465 559
278	138 359 366 55
279	40 157 501 114
280	361 518 39 341
281	560 39 11 500
282	89 171 578 320
283	503 282 335 38
284	510 109 325 533
285	266 66 39 70
286	135 465 29 446
287	211 99 559 116
288	581 332 260 164
289	178 274 321 43
290	186 538 382 188
291	507 317 402 11
292	555 55 318 125
293	98 465 354 416
294	273 535 288 150
295	477 102 81 483
296	254 33 51 409
297	389 261 414 263
298	221 477 485 95
299	310 341 90 96
300	327 567 84 98
301	344 272 360 81
302	240 446 264 572
303	133 568 134 482
304	223 321 462 141
305	335 131 456 505
306	141 196 558 536
307	318 179 561 294
308	215 99 191 492
309	306 484 272 368
310	435 260 291 28
311	393 311 315 121
312	322 481 586 116
313	533 2 230 279
314	311 141 356 273
315	463 534 565 599
316	487 400 159 124
317	511 217 339 13
318	263 125 340 361
319	171 235 523 87
320	570 273 159 268
321	397 554 414 357
322	454 227 289 593
323	11 315 312 251
324	12 268 406 145
325	563 252 200 437
326	490 108 114 523
327	306 397 99 403
328	208 17 18 431
329	389 44 400 248
330	398 351 228 299
331	579 82 454 64
332	180 249 389 209
333	561 194 337 323
334	365 261 535 234
335	335 314 37 488
336	261 378 106 410
337	86 63 147 160
338	545 72 438 306
339	48 514 95 303
340	492 588 459 123
341	400 300 519 235
342	596 5 302 210
343	120 449 158 329
344	343 367 145 300
345	282 527 394 542
346	536 184 140 175
347	469 379 115 415
348	552 539 514 106
349	240 512 340 163
350	493 147 438 462
351	22 358 562 57
352	205 427 255 149
353	402 412 301 118
354	40 452 12 54
355	281 330 109 334
356	339 517 566 533
357	50 568 351 508
358	374 22 305 563
359	523 398 433 40
360	305 134 29 468
361	552 331 41 491
362	151 430 507 550
363	516 206 50 30
364	261 215 503 285
365	328 315 480 198
366	525 263 415 396
367	397 105 526 572
368	530 393 571 287
369	86 45 230 244
370	297 63 516 217
371	109 357 366 20
372	108 161 564 588
373	94 501 254 35
374	34 100 310 460
375	332 135 16 285
376	343 243 177 257
